      freq (eV)        Lorentz     Gen_Plasma      Bren_Borm
         22.550         -1.171         -0.864          0.391
         22.960         -1.113         -0.942          0.458
         23.400         -1.055         -1.005          0.540
         23.850         -1.000         -1.048          0.631
         24.310         -0.949         -1.073          0.727
         24.800         -0.900         -1.082          0.816
         25.310         -0.852         -1.077          0.872
         25.830         -0.808         -1.060          0.859
         26.010         -0.793         -1.053          0.833
         26.380         -0.765         -1.034          0.741
         27.000         -0.721         -0.998          0.468
         28.000         -0.658         -0.934         -0.182
         29.010         -0.603         -0.867         -0.782
         29.500         -0.578         -0.835         -0.955
         30.000         -0.555         -0.804         -1.036
         30.510         -0.533         -0.774         -1.033
         31.010         -0.513         -0.745         -0.972
         32.010         -0.476         -0.691         -0.780
         33.010         -0.443         -0.642         -0.605
         34.010         -0.413         -0.598         -0.484
         35.010         -0.387         -0.558         -0.404
         36.010         -0.363         -0.522         -0.348
         37.010         -0.341         -0.489         -0.307
         38.000         -0.321         -0.460         -0.275
         39.010         -0.303         -0.433         -0.248
         40.010         -0.286         -0.408         -0.226
         41.010         -0.271         -0.385         -0.208
         42.010         -0.257         -0.365         -0.192
         43.010         -0.244         -0.346         -0.178
         44.000         -0.233         -0.328         -0.166
         45.010         -0.221         -0.312         -0.155
         46.010         -0.211         -0.297         -0.146
         47.010         -0.202         -0.283         -0.137
         48.010         -0.193         -0.270         -0.130
         49.010         -0.184         -0.258         -0.122
         50.000         -0.177         -0.247         -0.116
         52.020         -0.162         -0.226         -0.105
         54.010         -0.150         -0.209         -0.095
         56.010         -0.139         -0.193         -0.087
         58.000         -0.129         -0.179         -0.080
         60.020         -0.120         -0.166         -0.074
         62.000         -0.112         -0.155         -0.068
         64.020         -0.105         -0.145         -0.063
         66.030         -0.099         -0.136         -0.059
         68.020         -0.093         -0.127         -0.055
         70.020         -0.087         -0.120         -0.052
         72.010         -0.082         -0.113         -0.049
         74.030         -0.078         -0.107         -0.046
         76.030         -0.074         -0.101         -0.043
         78.040         -0.070         -0.096         -0.041
         80.000         -0.066         -0.091         -0.038
         82.010         -0.063         -0.086         -0.036
         83.000         -0.062         -0.084         -0.036
         83.510         -0.061         -0.083         -0.035
         84.010         -0.060         -0.082         -0.035
         84.530         -0.059         -0.081         -0.034
         84.990         -0.059         -0.080         -0.034
         86.000         -0.057         -0.078         -0.033
         87.020         -0.056         -0.076         -0.032
         87.510         -0.055         -0.075         -0.032
         88.010         -0.055         -0.075         -0.031
        100.000         -0.042         -0.057         -0.024
        105.000         -0.038         -0.052         -0.022
        110.000         -0.035         -0.047         -0.020
        120.000         -0.029         -0.040         -0.016
        150.000         -0.019         -0.025         -0.010
        180.000         -0.013         -0.017         -0.007
        200.000         -0.010         -0.014         -0.006
        220.000         -0.009         -0.012         -0.005
        260.000         -0.006         -0.008         -0.003
        300.000         -0.005         -0.006         -0.003
        395.400         -0.003         -0.004         -0.001
        452.200         -0.002         -0.003         -0.001
        500.400         -0.002         -0.002         -0.001
        525.000         -0.002         -0.002         -0.001
        573.000         -0.001         -0.002         -0.001
        637.600         -0.001         -0.001         -0.001
        705.000         -0.001         -0.001         -0.000
        776.500         -0.001         -0.001         -0.000
        851.700         -0.001         -0.001         -0.000
        929.600         -0.000         -0.001         -0.000
       1012.000         -0.000         -0.001         -0.000
       1188.000         -0.000         -0.000         -0.000
       1254.000         -0.000         -0.000         -0.000
       1487.000         -0.000         -0.000         -0.000
       1550.000         -0.000         -0.000         -0.000
       1772.000         -0.000         -0.000         -0.000
       2067.000         -0.000         -0.000         -0.000
       2480.000         -0.000         -0.000         -0.000
       3100.000         -0.000         -0.000         -0.000
       3543.000         -0.000         -0.000         -0.000
       4134.000         -0.000         -0.000         -0.000
       4960.000         -0.000         -0.000         -0.000
       6200.000         -0.000         -0.000         -0.000
       7086.000         -0.000         -0.000         -0.000
       8267.000         -0.000         -0.000         -0.000
       8552.000         -0.000         -0.000         -0.000
       9186.000         -0.000         -0.000         -0.000
       9920.000         -0.000         -0.000         -0.000
