      freq (eV)         Mostep         Lor-Dr      Bren-Borm
          0.216          0.093          0.660          1.797
          0.216          2.142          2.650          1.813
          0.216          0.244          2.015          0.174
          0.216          0.670          0.000          0.000
          0.218          0.766         13.329         -1.759
          0.218          2.413          1.254          0.516
          0.218          0.093          0.660          1.797
          0.218          2.142          2.650          1.813
          0.218          0.244          2.015          0.174
          0.218          0.670          0.000          0.000
          0.220          0.766         13.356         -1.839
          0.220          2.413          1.255          0.516
          0.220          0.093          0.660          1.798
          0.220          2.142          2.650          1.813
          0.220          0.244          2.015          0.174
          0.220          0.670          0.000          0.000
          0.222          0.766         13.382         -1.918
          0.222          2.413          1.257          0.517
          0.222          0.093          0.660          1.798
          0.222          2.142          2.650          1.813
          0.222          0.244          2.015          0.174
          0.222          0.670          0.000          0.000
          0.224          0.766         13.408         -1.994
          0.224          2.413          1.258          0.517
          0.224          0.093          0.660          1.798
          0.224          2.142          2.650          1.813
          0.224          0.244          2.015          0.174
          0.224          0.670          0.000          0.000
          0.226          0.766         13.434         -2.068
          0.226          2.413          1.259          0.517
          0.226          0.093          0.660          1.798
          0.226          2.142          2.650          1.813
          0.226          0.244          2.015          0.174
          0.226          0.670          0.000          0.000
          0.228          0.766         13.459         -2.141
          0.228          2.413          1.261          0.517
          0.228          0.093          0.660          1.798
          0.228          2.142          2.650          1.813
          0.228          0.245          2.015          0.174
          0.228          0.670          0.000          0.000
          0.230          0.766         13.484         -2.216
          0.230          2.413          1.262          0.517
          0.230          0.093          0.660          1.798
          0.230          2.142          2.650          1.813
          0.230          0.245          2.015          0.174
          0.230          0.670          0.000          0.000
          0.232          0.766         13.508         -2.285
          0.232          2.413          1.264          0.517
          0.232          0.093          0.660          1.798
          0.232          2.142          2.651          1.814
          0.232          0.245          2.015          0.174
          0.232          0.670          0.000          0.000
          0.233          0.766         13.532         -2.352
          0.233          2.413          1.265          0.517
          0.233          0.093          0.660          1.799
          0.233          2.142          2.651          1.814
          0.233          0.245          2.015          0.174
          0.233          0.670          0.000          0.000
          0.235          0.767         13.555         -2.418
          0.235          2.414          1.266          0.517
          0.235          0.093          0.661          1.799
          0.235          2.142          2.651          1.814
          0.235          0.245          2.015          0.174
          0.235          0.670          0.000          0.000
          0.237          0.767         13.577         -2.482
          0.237          2.414          1.268          0.517
          0.237          0.093          0.661          1.799
          0.237          2.142          2.651          1.814
          0.237          0.245          2.015          0.174
          0.237          0.670          0.000          0.000
          0.239          0.767         13.598         -2.545
          0.239          2.414          1.269          0.517
          0.239          0.093          0.661          1.799
          0.239          2.142          2.651          1.814
          0.239          0.245          2.015          0.174
          0.239          0.670          0.000          0.000
          0.241          0.767         13.619         -2.606
          0.241          2.414          1.271          0.517
          0.241          0.093          0.661          1.799
          0.241          2.142          2.651          1.814
          0.241          0.245          2.015          0.174
          0.241          0.670          0.000          0.000
          0.243          0.767         13.638         -2.666
          0.243          2.414          1.272          0.517
          0.243          0.093          0.661          1.799
          0.243          2.142          2.651          1.814
          0.243          0.245          2.015          0.174
          0.243          0.670          0.000          0.000
          0.245          0.767         13.658         -2.728
          0.245          2.414          1.274          0.517
          0.245          0.093          0.661          1.799
          0.245          2.142          2.651          1.814
          0.245          0.245          2.015          0.174
          0.245          0.670          0.000          0.000
          0.247          0.767         13.676         -2.785
          0.247          2.414          1.275          0.517
          0.247          0.093          0.661          1.800
          0.247          2.142          2.651          1.814
          0.247          0.245          2.015          0.174
          0.247          0.670          0.000          0.000
          0.249          0.767         13.693         -2.841
          0.249          2.414          1.276          0.517
          0.249          0.093          0.661          1.800
          0.249          2.142          2.651          1.814
          0.249          0.245          2.016          0.174
          0.249          0.670          0.000          0.000
          0.251          0.767         13.708         -2.895
          0.251          2.414          1.278          0.517
          0.251          0.093          0.661          1.800
          0.251          2.142          2.651          1.814
          0.251          0.245          2.016          0.174
          0.251          0.670          0.000          0.000
          0.253          0.767         13.723         -2.948
          0.253          2.414          1.280          0.518
          0.253          0.093          0.661          1.800
          0.253          2.142          2.652          1.814
          0.253          0.245          2.016          0.174
          0.253          0.670          0.000          0.000
          0.254          0.767         13.736         -3.000
          0.254          2.415          1.281          0.518
          0.254          0.093          0.661          1.800
          0.254          2.142          2.652          1.814
          0.254          0.245          2.016          0.174
          0.254          0.670          0.000          0.000
          0.256          0.767         13.748         -3.051
          0.256          2.415          1.283          0.518
          0.256          0.093          0.661          1.800
          0.256          2.142          2.652          1.814
          0.256          0.245          2.016          0.174
          0.256          0.670          0.000          0.000
          0.258          0.767         13.759         -3.104
          0.258          2.415          1.284          0.518
          0.258          0.093          0.661          1.801
          0.258          2.142          2.652          1.814
          0.258          0.245          2.016          0.174
          0.258          0.670          0.000          0.000
          0.260          0.768         13.768         -3.152
          0.260          2.415          1.286          0.518
          0.260          0.093          0.661          1.801
          0.260          2.142          2.652          1.815
          0.260          0.245          2.016          0.174
          0.260          0.670          0.000          0.000
          0.262          0.768         13.775         -3.200
          0.262          2.415          1.287          0.518
          0.262          0.093          0.661          1.801
          0.262          2.142          2.652          1.815
          0.262          0.245          2.016          0.174
          0.262          0.670          0.000          0.000
          0.264          0.768         13.781         -3.246
          0.264          2.415          1.289          0.518
          0.264          0.093          0.662          1.801
          0.264          2.142          2.652          1.815
          0.264          0.245          2.016          0.174
          0.264          0.670          0.000          0.000
          0.266          0.768         13.784         -3.291
          0.266          2.415          1.291          0.518
          0.266          0.093          0.662          1.801
          0.266          2.142          2.652          1.815
          0.266          0.245          2.016          0.174
          0.266          0.670          0.000          0.000
          0.268          0.768         13.786         -3.336
          0.268          2.415          1.292          0.518
          0.268          0.093          0.662          1.801
          0.268          2.142          2.652          1.815
          0.268          0.245          2.016          0.174
          0.268          0.670          0.000          0.000
          0.270          0.768         13.786         -3.379
          0.270          2.415          1.294          0.518
          0.270          0.093          0.662          1.802
          0.270          2.142          2.652          1.815
          0.270          0.245          2.016          0.174
          0.270          0.670          0.000          0.000
          0.272          0.768         13.784         -3.422
          0.272          2.416          1.296          0.518
          0.272          0.093          0.662          1.802
          0.272          2.142          2.652          1.815
          0.272          0.245          2.016          0.174
          0.272          0.670          0.000          0.000
          0.274          0.768         13.780         -3.465
          0.274          2.416          1.297          0.518
          0.274          0.093          0.662          1.802
          0.274          2.142          2.653          1.815
          0.274          0.245          2.016          0.174
          0.274          0.670          0.000          0.000
          0.276          0.768         13.773         -3.506
          0.276          2.416          1.299          0.518
          0.276          0.093          0.662          1.802
          0.276          2.142          2.653          1.815
          0.276          0.245          2.016          0.174
          0.276          0.670          0.000          0.000
          0.277          0.768         13.764         -3.546
          0.277          2.416          1.301          0.518
          0.277          0.093          0.662          1.802
          0.277          2.142          2.653          1.815
          0.277          0.245          2.016          0.174
          0.277          0.670          0.000          0.000
          0.279          0.768         13.752         -3.584
          0.279          2.416          1.302          0.519
          0.279          0.093          0.662          1.803
          0.279          2.142          2.653          1.815
          0.279          0.245          2.016          0.174
          0.279          0.670          0.000          0.000
          0.281          0.768         13.738         -3.622
          0.281          2.416          1.304          0.519
          0.281          0.093          0.662          1.803
          0.281          2.142          2.653          1.815
          0.281          0.245          2.016          0.174
          0.281          0.670          0.000          0.000
          0.283          0.768         13.720         -3.660
          0.283          2.416          1.306          0.519
          0.283          0.093          0.662          1.803
          0.283          2.142          2.653          1.815
          0.283          0.245          2.016          0.174
