energy, eV	Re eps	Im eps
2.601E+01	3.418E-01	1.217E+00
2.638E+01	4.307E-01	9.371E-01
2.700E+01	3.978E-01	1.137E+00
2.800E+01	4.434E-01	1.094E+00
2.901E+01	4.602E-01	1.084E+00
2.950E+01	4.488E-01	1.082E+00
3.000E+01	4.232E-01	1.070E+00
3.051E+01	3.957E-01	1.046E+00
3.101E+01	3.690E-01	1.014E+00
3.201E+01	3.231E-01	9.177E-01
3.301E+01	3.447E-01	8.044E-01
3.401E+01	3.831E-01	7.369E-01
3.501E+01	4.204E-01	6.875E-01
3.601E+01	4.464E-01	6.508E-01
3.701E+01	4.681E-01	6.162E-01
3.800E+01	4.880E-01	5.869E-01
3.901E+01	5.042E-01	5.599E-01
4.001E+01	5.205E-01	5.311E-01
4.101E+01	5.379E-01	5.066E-01
4.201E+01	5.546E-01	4.872E-01
4.301E+01	5.660E-01	4.713E-01
4.400E+01	5.717E-01	4.551E-01
4.501E+01	5.751E-01	4.347E-01
4.601E+01	5.835E-01	4.089E-01
4.701E+01	5.978E-01	3.851E-01
4.801E+01	6.120E-01	3.663E-01
4.901E+01	6.287E-01	3.497E-01
5.000E+01	6.440E-01	3.378E-01
5.202E+01	6.678E-01	3.188E-01
5.401E+01	6.867E-01	3.053E-01
5.601E+01	7.035E-01	2.928E-01
5.800E+01	7.138E-01	2.859E-01
6.002E+01	7.185E-01	2.796E-01
6.200E+01	7.135E-01	2.680E-01
6.402E+01	7.128E-01	2.520E-01
6.603E+01	7.142E-01	2.328E-01
6.802E+01	7.156E-01	2.120E-01
7.002E+01	7.219E-01	1.920E-01
7.201E+01	7.331E-01	1.719E-01
7.403E+01	7.466E-01	1.611E-01
7.603E+01	7.545E-01	1.521E-01
7.804E+01	7.589E-01	1.432E-01
8.000E+01	7.652E-01	1.321E-01
8.201E+01	7.715E-01	1.202E-01
8.300E+01	7.772E-01	1.155E-01
8.351E+01	7.792E-01	1.127E-01
8.401E+01	7.845E-01	1.124E-01
8.453E+01	7.843E-01	1.162E-01
8.499E+01	7.826E-01	1.150E-01
8.600E+01	7.812E-01	1.086E-01
8.702E+01	7.835E-01	1.022E-01
8.751E+01	7.854E-01	9.910E-02
8.801E+01	7.873E-01	9.850E-02
1.000E+02	7.883E-01	8.072E-02
1.050E+02	8.088E-01	6.354E-02
1.100E+02	8.291E-01	5.156E-02
1.200E+02	8.627E-01	3.307E-02
1.500E+02	9.273E-01	1.945E-02
1.800E+02	9.583E-01	2.095E-02
2.000E+02	9.662E-01	2.261E-02
2.200E+02	9.721E-01	2.327E-02
2.600E+02	9.760E-01	2.095E-02
3.000E+02	9.820E-01	1.774E-02
3.954E+02	9.905E-01	1.224E-02
4.522E+02	9.918E-01	1.215E-02
5.004E+02	9.920E-01	1.116E-02
5.250E+02	9.925E-01	7.492E-03
5.730E+02	9.930E-01	5.680E-03
